danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.501,0.169,-13.825,0.0483,0.92,0,0.0874,0.0974,122.355,247640,0
0.555,0.465,-9.655,0.124,0.245,0,0.0949,0.149,119.386,278504,0
0.609,0.445,-9.129,0.106,0.603,6.77E-06,0.104,0.166,118.393,228707,0
0.261,0.263,-9.41,0.0361,0.781,2.44E-05,0.105,0.0848,74.942,205987,0
0.327,0.101,-13.949,0.0525,0.948,0,0.0945,0.0866,171.734,276747,0
0.388,0.66,-7.372,0.0308,0.312,0.000307,0.0943,0.401,143.554,230507,0
0.367,0.111,-14.084,0.0972,0.978,3.97E-05,0.0897,0.198,82.642,196077,0
0.324,0.327,-7.494,0.0409,0.825,0,0.101,0.334,81.328,327773,0
0.513,0.25,-9.376,0.0367,0.913,0,0.117,0.351,74.103,220541,0
0.642,0.374,-9.386,0.0545,0.786,0,0.0906,0.0799,124.099,169266,0
0.612,0.601,-7.809,0.0421,0.373,0,0.156,0.368,125.164,298693,0
0.592,0.16,-10.785,0.0347,0.852,0,0.116,0.294,118.929,267507,0
0.453,0.209,-11.917,0.223,0.587,0,0.119,0.216,169.316,237020,0
0.4,0.525,-11.294,0.0435,0.887,0.00543,0.117,0.408,146.977,253013,0
0.703,0.657,-6.106,0.0289,0.0537,0.00018,0.0871,0.519,131.319,210715,0
0.561,0.0848,-15.099,0.0404,0.913,2.62E-05,0.112,0.206,102.128,219147,0
0.759,0.245,-6.545,0.138,0.515,0.000154,0.102,0.209,96.992,237507,0
0.439,0.153,-8.95,0.0479,0.874,0,0.107,0.104,116.76,287693,0
0.459,0.187,-9.326,0.0361,0.922,0,0.0939,0.0625,96.983,266493,0
0.71,0.0565,-15.099,0.0534,0.965,0,0.0889,0.348,123.994,275280,0
0.521,0.15,-11.852,0.0316,0.958,0.0258,0.083,0.0394,117.172,257583,0
0.464,0.467,-5.306,0.0376,0.295,0,0.141,0.169,51.66,346813,0
0.723,0.504,-5.572,0.0392,0.388,7.40E-05,0.087,0.551,133.975,218893,0
0.508,0.72,-5.908,0.0628,0.272,0,0.0563,0.472,79.983,261640,0
0.654,0.235,-11.292,0.159,0.819,0,0.0891,0.061,88.903,240000,0
0.441,0.104,-22.399,0.0459,0.973,0.354,0.119,0.156,120.266,279316,0
0.673,0.58,-6.029,0.0416,0.0692,8.52E-05,0.186,0.257,95.989,172916,0
0.559,0.33,-8.251,0.0285,0.892,0,0.0975,0.285,135.109,285040,0
0.444,0.179,-12.938,0.0396,0.952,0.00056,0.107,0.119,72.255,193080,0
0.51,0.355,-6.883,0.0287,0.892,0,0.133,0.453,141.796,245946,0
0.736,0.308,-7.83,0.0677,0.946,0,0.186,0.361,111.202,220492,0
0.698,0.183,-20.188,0.299,0.462,0.000424,0.335,0.244,143.96,120000,0
0.378,0.461,-6.202,0.0275,0.627,0,0.386,0.232,75.363,223270,0
0.656,0.291,-10.572,0.0293,0.872,0,0.114,0.298,103.971,232533,0
0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.169,166.467,201080,0
0.705,0.309,-12.596,0.0363,0.476,3.76E-05,0.114,0.426,122.039,201653,0
0.617,0.0947,-14.73,0.0422,0.947,6.05E-06,0.15,0.206,111.689,198133,0
0.543,0.0775,-13.75,0.0497,0.945,0,0.0818,0.238,144.226,266627,0
0.699,0.304,-11.192,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,0
0.332,0.328,-10.091,0.0299,0.975,0.124,0.116,0.0883,84.674,184320,0
0.589,0.242,-10.517,0.0442,0.914,0,0.0887,0.257,89.749,221107,0
0.83,0.583,-2.052,0.0412,0.0563,0.0005,0.109,0.146,134,200673,0
0.777,0.647,-6.802,0.328,0.265,0,0.0771,0.606,82.718,187383,0
0.691,0.662,-5.941,0.0738,0.548,2.43E-06,0.119,0.299,94.028,161760,0
0.735,0.449,-7.507,0.347,0.629,0,0.113,0.0397,122.947,220488,0
0.481,0.267,-9.249,0.0339,0.8,0,0.249,0.137,117.64,227693,0
0.357,0.425,-7.301,0.0333,0.584,0,0.322,0.27,102.078,198040,0
0.665,0.292,-17.147,0.112,0.798,0,0.107,0.345,97.377,137038,0
0.644,0.394,-10.502,0.0264,0.854,3.14E-05,0.108,0.43,95.008,140720,0
0.558,0.296,-9.18,0.0427,0.907,0,0.108,0.463,76.04,234787,0
0.376,0.43,-6.585,0.0328,0.0902,0,0.0912,0.129,77.599,177323,0
0.505,0.537,-5.532,0.0278,0.137,0,0.145,0.194,131.988,134402,0
0.402,0.102,-21.048,0.0401,0.938,0.000278,0.112,0.307,132.248,227200,0
0.477,0.128,-14.567,0.0707,0.928,0,0.0875,0.38,88.917,238576,0
0.648,0.28,-11.961,0.0333,0.396,0.0785,0.106,0.0393,120.058,207253,0
0.662,0.714,-5.68,0.121,0.312,0,0.179,0.464,147.997,212120,0
0.585,0.303,-10.058,0.0398,0.694,0,0.115,0.142,136.703,240166,0
0.311,0.485,-5.726,0.0365,0.701,0,0.0726,0.225,77.355,208827,0
0.478,0.62,-6.801,0.036,0.000382,0.834,0.095,0.0377,174.053,303455,0
0.489,0.357,-9.745,0.0259,0.641,0.333,0.0838,0.0388,92.009,254427,0
0.465,0.833,-2.809,0.0385,0.00874,0,0.121,0.529,90.951,187733,0
0.48,0.561,-5.874,0.027,0.317,0.00641,0.184,0.541,164.791,154160,0
0.676,0.2,-17.735,0.0282,0.826,0.0289,0.144,0.176,104.016,262640,0
0.535,0.359,-9.343,0.0607,0.771,0,0.111,0.488,154.163,184505,0
0.522,0.128,-18.717,0.0357,0.894,0.026,0.0941,0.124,109.986,187932,0
0.786,0.355,-11.429,0.0288,0.896,0.0201,0.111,0.479,99.978,159600,0
0.606,0.226,-10.617,0.0347,0.715,0.0001,0.35,0.142,122.711,243213,0
0.599,0.102,-15.901,0.0333,0.786,3.52E-06,0.133,0.124,133.682,185030,0
0.732,0.463,-6.972,0.0287,0.374,0,0.194,0.397,95.971,212607,0
0.634,0.153,-14.409,0.0622,0.952,0,0.134,0.318,77.77,221538,0
0.681,0.512,-9.402,0.0352,0.0139,0,0.185,0.424,82.999,125880,0
0.529,0.52,-6.927,0.0338,0.563,0.00113,0.166,0.637,75.962,239872,0
0.64,0.743,-4.08,0.0379,0.269,0,0.101,0.361,122.035,262533,0
0.477,0.242,-9.162,0.0529,0.928,0,0.0818,0.488,43.509,207973,0
0.571,0.172,-20.7,0.0318,0.979,0.275,0.124,0.297,90.972,307698,0
0.414,0.161,-22.32,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,0
0.494,0.267,-11.54,0.0308,0.935,5.58E-05,0.128,0.166,115.117,240400,0
0.447,0.393,-8.65,0.038,0.785,0,0.28,0.564,73.139,220239,0
0.537,0.342,-9.785,0.0338,0.833,0.6,0.0856,0.156,128.331,255387,0
